id,Station,Month,BOD,DO,pH,Phosphate,Ammonia,Nitrate,Year
497,Stn. 22 A (Tanay) - Brgy. Wawa,2,5,3.2,7.4,0.17,0.334,0.546,2018
498,Stn. 22 B (Tanay) - Midstream,2,2,11.1,7.7,0.063,0.01,0.774,2018
499,Stn. 22 C (Tanay) - Daranak ,2,2,8.5,8.3,0.064,0.038,0.266,2018
500,Stn. 23 (Baras),2,8,2.7,7.1,0.36,0.89,0.277,2018
501,Stn. 24 (Morong)-Down,2,29,1.5,7.5,4.5,11.04,0.752,2018
502,Stn. 24U (Morong)-Up,2,35,3.5,7.8,5.02,27.6,0.764,2018
503,Stn. 25 Manggahan Floodway (Taytay),2,19,0.05,7.2,1.896,14.08,0.05,2018
504,Stn. 26 Sapang Baho (Cainta),2,43,0.3,7.1,1.216,11.66,0.05,2018
505,Stn. 27 (Angono),2,10,3.1,7.2,0.662,4.83,0.81,2018
506,Stn. 28 (Teresa),2,9,6.5,8,0.283,0.077,0.499,2018
507,Stn. 1 (Marikina),3,29,0.05,6,0.605,6.8,0.05,2018
508,Stn. 2 Bagumbayan (Taguig),3,268,0.05,5.7,1.28,10.5,0.05,2018
509,Stn. 3 Buli Creek (Taguig),3,268,0.05,6.5,1.19,9.62,0.05,2018
510,Stn. 4 Mangangate (Muntinlupa)-Down,3,79,0.05,7.1,0.98,0.88,0.05,2018
511,Stn. 4U Mangangate (Muntinlupa)-Up,3,14,2.9,7.2,0.593,4.94,0.262,2018
512,Stn. 5 Tunasan (Muntinlupa)-Down,3,,,,,,,2018
513,Stn. 5U Tunasan (Muntinlupa)-Up,3,28,0.5,7.9,1.61,2.3,0.11,2018
514,Stn. 6 San Pedro River (T2),3,,,,,,,2018
515,Stn. 7 (Binan),3,34,0.05,8.4,0.61,5.4,0.05,2018
516,Stn. 8 (Sta.Rosa)-Down,3,63,0.05,8.4,0.475,2.745,0.05,2018
517,Stn. 8M (Sta.Rosa)-M,3,80,1,7.9,0.51,3.21,0.05,2018
518,Stn. 8U (Sta.Rosa)-U,3,8,8.2,8.4,0.435,1.982,1.109,2018
519,Stn. 9 (Cabuyao),3,,,,,,,2018
520,Stn. 10 San Cristobal River (T3),3,26,0.9,8,0.344,1.286,0.05,2018
521,Stn. 11 San Juan River (T5),3,5,6.1,8,0.428,0.59,5.316,2018
522,Stn. 12 (Los Banos),3,3,7.1,7.9,0.214,0.152,1.838,2018
523,Stn. 13 Bay River (T9),3,2,7,8.2,0.214,0.128,0.972,2018
524,Stn. 14 (Pila),3,2,5.4,8.2,0.167,0.07,0.287,2018
525,Stn. 15 Sta.Cruz River (T6),3,3,6.4,8.2,0.194,0.148,0.707,2018
526,Stn. 16 Pagsanjan River (T8),3,2,8.1,8,0.088,0.038,0.2,2018
527,Stn. 17 (Pangil)-Down,3,0.5,9.1,8,0.096,0.029,0.05,2018
528,Stn. 17U (Pangil)-Up,3,3,8,7,0.077,0.027,0.05,2018
529,Stn. 18 (Siniloan),3,3,4.2,7,0.117,0.824,0.235,2018
530,Stn. 19 (Sta.Maria)-Down,3,4,6.8,7,0.153,0.151,0.188,2018
531,Stn. 19U (Sta.Maria)-Up,3,2,10.3,8,0.103,0.053,0.05,2018
532,Stn. 20 (Jala-jala),3,,,,,,,2018
533,Stn. 21 (Pililla),3,5,6.4,8,0.157,0.487,0.05,2018
534,Stn. 22 A (Tanay) - Brgy. Wawa,3,5,1.7,8,0.203,0.662,0.311,2018
535,Stn. 22 B (Tanay) - Midstream,3,2,12.1,7,0.063,0.028,0.61,2018
536,Stn. 22 C (Tanay) - Daranak ,3,0.5,8.7,8,0.034,0.073,0.215,2018
537,Stn. 23 (Baras),3,8,5.4,7,0.272,0.688,0.05,2018
538,Stn. 24 (Morong)-Down,3,13,5,8,0.835,1.785,0.925,2018
539,Stn. 24U (Morong)-Up,3,13,20.4,7,0.706,3.655,0.261,2018
540,Stn. 25 Manggahan Floodway (Taytay),3,27,0.05,7,0.76,4.525,0.027,2018
541,Stn. 26 Sapang Baho (Cainta),3,36,0.2,7,0.65,5.765,0.035,2018
542,Stn. 27 (Angono),3,7,3.6,7,0.295,2,0.691,2018
543,Stn. 28 (Teresa),3,5,6.1,7,0.293,0.026,0.89,2018
